"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,6,-0.269709703546915,-0.327847136291813,-0.211572270802017,1
"吉林省","220000",0.562162909,6,-0.306799367562762,-0.372573958903714,-0.241024776221811,1
"内蒙古自治区","150000",0.608904501,6,-0.250135303962378,-0.304637224855222,-0.195633383069533,1
"新疆维吾尔自治区","650000",0.869026001,6,0.0652057143715185,-0.00505748836559322,0.13546891710863,0
"辽宁省","210000",0.683873748,6,-0.159251318237609,-0.202646419452744,-0.115856217022474,1
"北京市","110000",0.657671343,6,-0.191016063079912,-0.236960553280412,-0.145071572879413,1
"天津市","120000",0.585728355,6,-0.278231364767406,-0.338044825202284,-0.218417904332527,1
"河北省","130000",0.535806517,6,-0.338750788313786,-0.411691854952065,-0.265809721675507,1
"山西省","140000",0.653380632,6,-0.196217621490565,-0.242734109864571,-0.149701133116558,1
"宁夏回族自治区","640000",0.794808805,6,-0.0247665722888552,-0.0770324292514816,0.0274992846737711,0
"甘肃省","620000",0.809319375,6,-0.0071756468159309,-0.0624895550256266,0.0481382613937648,0
"山东省","370000",0.61462279,6,-0.243203116210164,-0.296497911468641,-0.189908320951686,1
"陕西省","610000",0.750042761,6,-0.0790357115247122,-0.124161204711086,-0.0339102183383389,1
"青海省","630000",0.636659688,6,-0.216488147027531,-0.265597749956401,-0.167378544098662,1
"河南省","410000",0.750178907,6,-0.0788706639670052,-0.124011565719366,-0.0337297622146442,1
"江苏省","320000",0.654435956,6,-0.194938269553749,-0.241310339236889,-0.14856619987061,1
"安徽省","340000",0.707038712,6,-0.131168813187361,-0.173807417046271,-0.0885302093284521,1
"上海市","310000",0.8213917,6,0.00745943432560393,-0.0505981184452741,0.065516987096482,0
"西藏自治区","540000",0.500579205,6,-0.38145627955248,-0.464568304538024,-0.298344254566936,1
"湖北省","420000",0.720866868,6,-0.114405166988489,-0.157302213595411,-0.0715081203815669,1
"四川省","510000",0.825915231,6,0.0129432365949471,-0.0461852409404673,0.0720717141303616,0
"重庆市","500000",0.738457741,6,-0.0930800408255142,-0.137058877445958,-0.0491012042050701,1
"浙江省","330000",0.831647693,6,0.0198926060420722,-0.0406236712012328,0.0804088832853773,0
"江西省","360000",0.79643261,6,-0.022798060180953,-0.0753900828380211,0.0297939624761151,0
"湖南省","430000",0.743115144,6,-0.0874339477312819,-0.131834042910586,-0.0430338525519776,1
"贵州省","520000",0.783541687,6,-0.038425514221022,-0.0885425400334677,0.0116915115914237,0
"福建省","350000",0.810759891,6,-0.00542933294965577,-0.0610613310551592,0.0502026651558477,0
"云南省","530000",0.646544986,6,-0.204504362765738,-0.252013343676214,-0.156995381855262,1
"广西壮族自治区","450000",0.649788744,6,-0.200572008266211,-0.247597867096071,-0.153546149436351,1
"广东省","440000",0.657572742,6,-0.191135595451319,-0.237092774267208,-0.145178416635429,1
"海南省","460000",0.936057134,6,0.146466454988095,0.0567065459848859,0.236226363991304,1
