"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,6,-0.264193592362854,-0.362909827284904,-0.165477357440804,1
"吉林省","220000",0.562162909,6,-0.280628920571553,-0.392312902889898,-0.168944938253208,1
"内蒙古自治区","150000",0.608904501,6,-0.25551970193552,-0.348062908137435,-0.162976495733606,1
"新疆维吾尔自治区","650000",0.869026001,6,-0.115784461094071,-0.235090018637476,0.00352109644933536,0
"辽宁省","210000",0.683873748,6,-0.215246807210374,-0.288930848692157,-0.141562765728591,1
"北京市","110000",0.657671343,6,-0.229322534796522,-0.307335389404457,-0.151309680188587,1
"天津市","120000",0.585728355,6,-0.267969746791815,-0.369531844273809,-0.166407649309821,1
"河北省","130000",0.535806517,6,-0.294787368772996,-0.418639887361566,-0.170934850184426,1
"山西省","140000",0.653380632,6,-0.231627471277997,-0.310611567707336,-0.152643374848658,1
"宁夏回族自治区","640000",0.794808805,6,-0.155653359888046,-0.244399772839651,-0.0669069469364414,1
"甘肃省","620000",0.809319375,6,-0.147858394867097,-0.241780339808228,-0.0539364499259666,1
"山东省","370000",0.61462279,6,-0.252447881687613,-0.342941411939344,-0.161954351435882,1
"陕西省","610000",0.750042761,6,-0.179701329547835,-0.256323543086329,-0.103079116009342,1
"青海省","630000",0.636659688,6,-0.240609831970737,-0.323996986696455,-0.157222677245018,1
"河南省","410000",0.750178907,6,-0.17962819297858,-0.256276569963721,-0.102979815993439,1
"江苏省","320000",0.654435956,6,-0.231060559456768,-0.309799435745801,-0.152321683167736,1
"安徽省","340000",0.707038712,6,-0.202802769237259,-0.275202292858358,-0.13040324561616,1
"上海市","310000",0.8213917,6,-0.141373236041736,-0.23995383631484,-0.0427926357686317,1
"西藏自治区","540000",0.500579205,6,-0.313711206004893,-0.454833814898218,-0.172588597111568,1
"湖北省","420000",0.720866868,6,-0.195374391694253,-0.268212746096523,-0.122536037291983,1
"四川省","510000",0.825915231,6,-0.138943230472266,-0.239342240256222,-0.0385442206883106,1
"重庆市","500000",0.738457741,6,-0.185924711928196,-0.260599924823682,-0.111249499032711,1
"浙江省","330000",0.831647693,6,-0.135863796599309,-0.23861926341139,-0.0331083297872278,1
"江西省","360000",0.79643261,6,-0.154781064507793,-0.244081300492095,-0.06548082852349,1
"湖南省","430000",0.743115144,6,-0.183422791364534,-0.258813293134948,-0.10803228959412,1
"贵州省","520000",0.783541687,6,-0.161705967793656,-0.246803707066121,-0.0766082285211902,1
"福建省","350000",0.810759891,6,-0.147084560907982,-0.241546616332124,-0.0526225054838399,1
"云南省","530000",0.646544986,6,-0.235299526990873,-0.315968856526709,-0.154630197455037,1
"广西壮族自治区","450000",0.649788744,6,-0.233557005494721,-0.313406003093724,-0.153708007895718,1
"广东省","440000",0.657572742,6,-0.22937550248463,-0.307409902115772,-0.151341102853488,1
"海南省","460000",0.936057134,6,-0.0797758592921039,-0.23218644650573,0.072634727921522,0
